city_name,country_code,latitude,longitude,temp,humidity,cloudiness,wind_speed
punta arenas,cl,-84.83948,-111.73724,-36.82,85,50,8.97
edmond,us,35.70638,-97.3068,86.74,62,1,9.17
tasiilaq,gl,74.83477,-39.97976,2.96,96,100,9.75
hobart,au,-78.01475,150.95578,-41.68,95,100,18.32
luderitz,na,-32.73477,5.76531,56.78,57,93,13.04
rikitea,pf,-32.70869,-114.10987,57.32,89,100,34.14
kapaa,us,19.76951,-171.39019,82.52,77,80,11.12
hasaki,jp,33.44317,150.53795,82.34,83,100,15.28
almaty,kz,43.0797,77.05987,56.08,72,0,4.47
east london,za,-80.69937,55.98047,-72.64,100,70,8.59
tayu,id,-5.09514,111.43641,79.46,82,100,16.98
sitka,us,53.27785,-143.34128,56.6,93,84,11.81
tuyen quang,vn,21.71086,105.20001,76.94,95,100,2.19
lokosovo,ru,60.88583,74.95352,46.7,80,100,3.96
san patricio,mx,7.10976,-110.13682,79.1,84,44,15.35
isangel,vu,-16.65453,174.16592,74.42,80,93,22.39
butaritari,ki,12.06837,163.47293,83.96,79,12,9.95
castro,cl,-49.96861,-89.0528,38.06,58,96,27.45
nome,us,70.70488,-164.37921,43.64,86,99,7.61
viedma,ar,-42.5027,-62.22127,50.66,71,96,9.73
amderma,ru,80.3775,67.19647,30.68,88,70,14.83
hermanus,za,-65.80721,14.32191,-17.2,99,26,7.47
taolanaro,mg,-73.81985,66.55672,-17.02,57,82,16.71
vila velha,br,-26.29451,-28.60907,67.58,79,34,19.24
port alfred,za,-74.72678,49.07806,-45.82,99,100,12.06
illoqqortoormiut,gl,74.02666,-19.91192,36.44,95,96,2.57
nuevo ideal,mx,25.04852,-104.88588,74.96,50,95,14.45
qaqortoq,gl,61.25524,-47.15132,24.92,56,0,15.52
linhares,br,-20.8414,-35.822,71.54,67,69,10.22
comodoro rivadavia,ar,-45.3022,-69.7021,44.54,54,67,12.77
jalu,ly,28.0441,21.80563,78.56,59,0,14.7
esperance,au,-35.18507,121.70741,55.7,65,0,7.7
hun,ly,28.65215,14.4614,74.96,33,5,9.01
westport,nz,-38.10283,165.7786,53.72,65,17,20.2
yuancheng,cn,24.35875,115.52906,76.76,91,100,9.35
matola,mz,-26.08717,32.20443,68.0,56,0,8.05
diego de almagro,cl,-26.39491,-69.58846,55.34,66,4,1.45
mataura,pf,-67.44636,-156.22475,14.12,88,83,36.35
rawannawi,ki,3.37864,176.22132,84.32,76,1,12.21
banes,cu,21.82876,-75.08642,84.5,82,78,12.19
kristiinankaupunki,fi,62.24273,20.70185,62.0,83,100,10.74
angra,pt,37.99621,-27.69079,72.08,91,98,15.17
atar,mr,22.23223,-12.07244,91.88,33,74,11.56
benguela,ao,-12.08249,11.18767,69.02,83,19,6.62
kenora,ca,49.36799,-94.2952,68.52,73,100,16.11
ouahigouya,bf,13.593,-2.76504,74.78,86,75,7.49
kupang,id,-13.35883,122.33197,77.3,53,9,4.7
cidreira,br,-56.59326,-21.72974,22.4,90,60,15.97
ushuaia,ar,-85.33948,-58.2859,-34.48,77,0,28.14
samusu,ws,-12.47208,-166.34356,81.08,75,31,17.76
albany,au,-56.28885,121.92153,32.12,72,100,32.53
camacha,pt,36.33094,-14.9059,68.48,72,79,21.97
grand river south east,mu,-21.95115,77.30539,69.2,84,100,20.96
georgetown,sh,-1.94615,-16.38752,74.78,83,71,11.32
saint-philippe,re,-62.66679,68.53493,18.62,91,62,14.76
cape town,za,-46.02857,8.06174,33.2,66,100,41.56
dolbeau,ca,51.03971,-71.04836,59.48,64,0,3.22
faya,td,17.33597,16.21011,82.34,56,100,9.48
mazara del vallo,it,37.62956,12.42764,74.79,88,0,3.36
bambous virieux,mu,-33.35695,83.86687,56.96,71,100,23.6
kaitangata,nz,-60.55314,176.76388,34.1,69,50,26.69
nara,ml,15.85325,-6.63336,80.18,75,60,12.66
nikolskoye,ru,45.57664,176.3536,53.36,88,100,11.61
